X,Y,med_indicator,chip_indicator,Specialty_keys,BOD_Formatted_Name,Latitude,Longitude,CensusYear,CensusTract,CensusCountyFips,CensusStateFips,CensusTract100,CensusStateFips2,State_county_tract
39.76595115,-105.233307,1,0,specialist,Amy Lyn Shearer,39.7643451,-105.232078,TwoThousandTen,98.08,59,8,9808,8,8059009808
38.87643569,-104.7571788,1,0,specialist,Ryan David Hambleton,38.8764551,-104.7576459,TwoThousandTen,1.01,41,8,101,8,8041000101
39.97970358,-105.1298637,1,0,specialist,Gary Daniel Dixon,39.97973006,-105.1299314,TwoThousandTen,130.05,13,8,13005,8,8013013005
39.69717397,-104.8331548,1,0,specialist,John Robert Nesiba,39.6969617,-104.8326462,TwoThousandTen,808,5,8,80800,8,8005080800
39.98074353,-105.2463596,1,0,specialist,Robert John Edwards,39.9810339,-105.2464061,TwoThousandTen,125.09,13,8,12509,8,8013012509
39.76249474,-104.9646843,1,0,specialist,Gerald Wayne Trammell,39.7625035,-104.9643907,TwoThousandTen,36.01,31,8,3601,8,8031003601
39.7514639,-104.8896708,1,0,specialist,Aaron Thomas Liddell,39.7513163,-104.8898881,TwoThousandTen,41.07,31,8,4107,8,8031004107
39.72253397,-105.1654283,1,0,specialist,Wade Robert Hirschman,39.72527051,-105.1653533,TwoThousandTen,117.21,59,8,11721,8,8059011721
39.74365703,-104.8368207,1,0,specialist,Galen Dale Miller,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.727305,-104.9903162,1,0,specialist,Brian John Fangman,39.7282851,-104.990525,TwoThousandTen,18,31,8,1800,8,8031001800
39.72802986,-104.9929177,1,0,specialist,Mark James Glasgow,39.7278128,-104.993173,TwoThousandTen,18,31,8,1800,8,8031001800
39.65322823,-104.8090297,1,0,specialist,Mark John Stasi,39.6533855,-104.8085161,TwoThousandTen,816,5,8,81600,8,8005081600
38.81132944,-104.8408252,1,0,specialist,Bangorn Saowalak Terry,38.81137139,-104.8407712,TwoThousandTen,30,41,8,3000,8,8041003000
39.74365703,-104.8368207,1,0,specialist,Thomas Bradley Smith,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
38.95550961,-104.7326782,1,0,specialist,Ronald Dean Thoman,38.9556079,-104.7321056,TwoThousandTen,71.02,41,8,7102,8,8041007102
39.58964822,-104.9216706,1,0,specialist,Mark Joseph Cassidy,39.5900172,-104.9221268,TwoThousandTen,67.06,5,8,6706,8,8005006706
39.74365703,-104.8368207,1,0,specialist,Jose Miguel Arango,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.74365703,-104.8368207,1,0,specialist,Nathan Alan Moeller,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
