idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
730,"5416 S YALE AVENUE #100,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
731,"5416 S YALE STE. #125,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
732,"5424 S MEMORIAL DRIVE, BLDG. A,TULSA,OK,74145",1,0,0,143,36.08606543,-95.88666689,0,0
733,"5424 S MEMORIAL DRIVE, STE. D1,TULSA,OK,74145",1,0,0,143,36.08606543,-95.88666689,0,0
734,"5434 E 115TH STREET,TULSA,OK,74137",0,0,1,143,36.02055383,-95.92936819,0,0
735,"550 24TH AVE SW,NORMAN,OK,73069",2,0,0,27,35.24963606,-97.46290905,0,0
736,"5500 NW EXPRESSWAY, STE F,OKLAHOMA CITY,OK,73132",1,0,0,109,35.55092688,-97.63990001,0,0
737,"5510 E. 41ST ST. STE C,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
738,"5525 NW 130TH STREET,OKC,OK,73008",1,0,0,109,35.51409172,-97.64604609,0,0
739,"5536 N WESTERN,OKC,OK,73118",1,0,0,109,35.51831174,-97.52952955,0,0
740,"5555 E 71ST STREET #9210,TULSA,OK,74136",1,0,0,143,36.06140091,-95.94233139,0,0
741,"5555 E 71ST STREET, BLDG. 9 STE. 210,TULSA,OK,74136",0,0,1,143,36.06140091,-95.94233139,0,0
742,"5601 N CLASSEN BLVD.,OKC,OK,73118",1,0,0,109,35.51831174,-97.52952955,0,0
743,"5609 N EVEREST AVENUE,OKC,OK,73111",1,0,0,109,35.5278823,-97.4900209,0,0
744,"561 MERCHANT DRIVE,NORMAN,OK,73069",2,0,0,27,35.2250761,-97.4793494,0,0
745,"5619 N. PENNSYLVANIA AVE. ,OKLAHOMA CITY,OK,73112",1,0,0,109,35.5286854,-97.54753683,0,0
746,"5620 S MEMORIAL DRIVE,TULSA,OK,74145",1,0,0,143,36.08387452,-95.88662654,0,0
747,"5639 E 41ST STREET,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
748,"5653 N CLASSEN BLVD,OKC,OK,73118",1,0,0,109,35.5292984,-97.5365164,0,0
749,"5653 N CLASSEN BLVD.,OKC,OK,73118",1,0,0,109,35.5292984,-97.5365164,0,0
750,"56801 E 355 RD,JAY,OK,74346",1,0,0,41,36.43791726,-94.75039741,0,0
751,"57 HEFFELMAN DR.,GROVE,OK,74344",2,0,0,41,36.5972798,-94.7384849,0,0
752,"57 HEFFELMAN,GROVE,OK,74344",2,0,0,41,36.5972798,-94.7384849,0,0
753,"570 S POST ROAD,MIDWEST CITY,OK,73130",1,0,0,109,35.45863403,-97.34563303,0,0
754,"5700 NW 135TH STREET,OKC,OK,73142",1,0,0,109,35.61374054,-97.64245306,0,0
755,"5700 SE 74TH STREET STE 400,OKLAHOMA CITY,OK,73135",1,0,0,109,35.3948298,-97.42885156,0,0
756,"5701 NW 23RD STREET,OKC,OK,73127",1,0,0,109,35.47755389,-97.65391954,0,0
757,"5704 N. MAY AVE,OKC,OK,73112",1,0,0,109,35.51841834,-97.57489782,0,0
758,"5706 SANDABEL CT.,OKC,OK,73179",1,0,0,109,35.42445284,-97.64449787,0,0
759,"5804 NW EXPRESSWAY,OKC,OK,73132",1,0,0,109,35.55092688,-97.63990001,0,0
760,"5804 NW EXPRESSWAY,WARR ACRES,OK,73132",1,0,0,109,35.55092688,-97.63990001,0,0
761,"5874 SOUTH KINGSTON AVE,TULSA,OK,74135",1,0,0,143,36.07959796,-95.90907476,0,0
762,"5930 E 31ST #200,TULSA,OK,74011",1,0,0,143,35.98162572,-95.80942027,0,0
763,"5930 E 31ST #600,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
764,"5930 EAST 31ST #305,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
765,"5937 SE 66TH STREET,OKC,OK,73135",1,0,0,109,35.3948298,-97.42885156,0,0
766,"5940 NW EXPRESSWAY STE 200,OKC,OK,73132",0,1,0,109,35.55092688,-97.63990001,0,0
767,"60 NW SHERIDAN #7,LAWTON,OK,73505",1,0,0,31,34.57886686,-98.47855778,0,0
768,"6001 NW 120TH COURT,OKC,OK,73162",1,0,0,109,35.58110818,-97.64144401,0,0
769,"6001 NW 120TH CT., STE. #1,OKC,OK,73162",1,0,0,109,35.58110818,-97.64144401,0,0
770,"601 FOX TAIL DRIVE,EDMOND,OK,73034",0,0,1,109,35.6477448,-97.4323866,0,0
771,"601 N KELLY, STE. #104,EDMOND,OK,73013",1,0,0,109,35.61945494,-97.48107973,0,0
772,"6010 E 112TH STRRET,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
773,"602 S UTICA AVE,TULSA,OK,74104",1,0,0,143,36.14646959,-95.95400481,0,0
774,"6025 W RENO, STE. A,OKC,OK,73127",1,0,0,109,35.47755389,-97.65391954,0,0
775,"603 WEST 13TH ST,ATOKA,OK,74525",1,0,0,5,34.33517704,-96.06887887,0,0
776,"604 COTTONWOOD DRIVE,MOORE,OK,73160",1,0,0,27,35.3320556,-97.4602305,0,0
777,"605 BARNES AVENUE,ALVA,OK,73717",1,0,0,151,36.80345064,-98.64933075,0,0
778,"6050 S MAY AVENUE,OKC,OK,73159",1,0,0,109,35.39010732,-97.57680122,0,0
779,"607 NW ALLISON LANE,LAWTON,OK,73505",1,0,0,31,34.6146003,-98.4880662,0,0
780,"609 S KELLY AVE., STE. E-1,EDMOND,OK,73003",0,0,1,109,35.66897845,-97.49717346,0,0
781,"609 S. 3RD ST.,YUKON,OK,73099",1,0,0,17,35.52825735,-97.76234719,0,0
782,"610 SOUTH KELLY, STE. N,OKC,OK,73003",1,0,0,109,35.66897845,-97.49717346,0,0
