idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
749,"509 LEAVENWORTH ST.,MANHATTAN,KS,66502",1,0,0,161,39.1813668,-96.5638244,0,0
750,"509 STONE POINTE DR., #10B,MANHATTAN,KS,66503",1,0,0,161,39.1858121,-96.6425698,0,0
751,"5100 BOB BILLINGS PKWY, SUITE 110,LAWRENCE,KS,66049",1,0,0,45,38.9575025,-95.3145547,0,0
752,"5100 SW 28TH ST,TOPEKA,KS,66614",1,0,0,177,39.01151999,-95.84943827,0,0
753,"5100 SW 28TH ST.,TOPEKA,KS,66614",1,0,0,177,39.01151999,-95.84943827,0,0
754,"5105 ROUNDTREE ST.,SHAWNEE,KS,66226",1,0,0,91,39.03701999,-94.84287855,0,0
755,"5106 EAGLE RIDGE COURT,LAWRENCE,KS,66047",1,0,0,45,38.9536645,-95.3144556,0,0
756,"5108 FOUNDERS WAY,MANHATTAN,KS,66503",1,0,0,161,39.2145175,-96.6397769,0,0
757,"512 REED AVE.,FORT RILEY,KS,66442",1,0,0,161,39.09331076,-96.78982092,0,0
758,"5125 ROE BLVD., STE. 100,ROELAND PARK,KS,66205",1,0,0,91,39.03117655,-94.63076146,0,0
759,"515 STATE ST,ATWOOD,KS,67730",1,0,0,153,39.8057794,-101.1058639,0,0
760,"5161 HORTON ST,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
761,"517 N. MUR-LEN RD.,OLATHE,KS,66062",1,0,0,91,38.8890137,-94.7800171,0,0
762,"5175 N. HARBORSIDE CT.,WICHITA,KS,67204",1,0,0,173,37.7752838,-97.3811216,0,0
763,"5200 W 112TH STREET,LEAWOOD,KS,66211",1,0,0,91,38.92355416,-94.6368546,0,0
764,"5216 PARK ST.,SHAWNEE,KS,66216",1,0,0,91,39.03394891,-94.74533528,0,0
765,"5233 MCCOY,SHAWNEE,KS,66226",1,0,0,91,39.03057819,-94.86005317,0,0
766,"530 FOLKS RD,LAWRENCE,KS,66049",2,0,0,45,38.9725393,-95.297014,0,0
767,"5310 SW 37TH ST.,TOPEKA,KS,66614",3,0,0,177,39.01151999,-95.84943827,0,0
768,"5313 STONE CREST DR.,MANHATTAN,KS,66503",0,0,1,161,39.1797167,-96.6441787,0,0
769,"5315 NOLAND RD,SHAWNEE,KS,66216",1,0,0,91,39.03225518,-94.74013161,0,0
770,"5321 FOXRIDGE DRIVE #208,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
771,"5367 ROBERTS ST.,SHAWNEE,KS,66226",1,0,0,91,39.03057819,-94.86005317,0,0
772,"5400 JOHNSON DRIVE,MISSION,KS,66205",1,0,0,91,39.03117655,-94.63076146,0,0
773,"5400 W 67TH ST,PRAIRIE VILLAGE,KS,66208",1,0,0,91,38.9993018,-94.6294985,0,0
774,"5403 W. 134TH TERRACE,  APT. 1512,OVERLAND PARK,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
775,"5407 ROBERTS ST,SHAWNEE,KS,66226",0,1,0,91,39.03057819,-94.86005317,0,0
776,"5407 W 100TH,OVERLAND PARK,KS,66207",1,0,0,91,38.95588509,-94.64439972,0,0
777,"5418 W161ST TERR,STILWELL,KS,66085",1,0,0,91,38.79949962,-94.64954606,0,0
778,"5421 LOCUST LANE,KANSAS CITY,KS,66106",1,0,0,209,39.06662307,-94.7029873,0,0
779,"5441 CANTERBURY,FAIRWAY,KS,66205",1,0,0,91,39.03117655,-94.63076146,0,0
780,"545 COLUMBIA DR., STE.1003,LAWRENCE,KS,66049",2,0,0,45,38.972005,-95.2749289,0,0
781,"5524 W. 92ND PL.,OVERLAND PARK,KS,66207",1,0,0,91,38.95588509,-94.64439972,0,0
782,"5605 SW BARRINGTON CT., STE. 200,TOPEKA,KS,66614",1,0,0,177,39.01624071,-95.74997028,0,0
783,"5620 NEOSHO AVE,FAIRWAY,KS,66205",1,0,0,91,39.03117655,-94.63076146,0,0
784,"5630 CHEROKEE CIRCLE,FAIRWAY,KS,66205",2,0,0,91,39.03117655,-94.63076146,0,0
785,"5636 NIEMAN RD,SHAWNEE,KS,66203",1,0,0,91,39.02150182,-94.70549978,0,0
786,"568 W. 7TH,HOISINGTON,KS,67544",1,0,0,9,38.58225997,-98.75738228,0,0
787,"5711 N 123RD ST,KANSAS CITY,KS,66109",1,0,0,209,39.19085655,-94.86389977,0,0
788,"5718 SW 38TH ST,TOPEKA,KS,66610",1,0,0,177,38.97401838,-95.83754695,0,0
789,"5719 KNOX ST,MERRIAM,KS,66203",1,0,0,91,39.0254119,-94.69813349,0,0
790,"5811 NALL AVE.,MISSION,KS,66202",0,0,1,91,39.02393261,-94.66913494,0,0
791,"5830 NALL AVE., STE. 1,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
792,"5830 SW HUNTOON,TOPEKA,KS,66604",1,0,0,177,39.03888225,-95.72662623,0,0
793,"5905 REDBUD ST,SHAWNEE,KS,66218",1,0,0,91,39.0209355,-94.83081398,0,0
794,"5914 DELMAR ST.,FAIRWAY,KS,66205",1,0,0,91,39.02207272,-94.63482796,0,0
795,"5929 BROADMOOR,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
796,"5930 ROE AVE., STE. 200,MISSION,KS,66205",1,0,0,91,39.03117655,-94.63076146,0,0
797,"5944 OVERHILL RD,MISSION HILLS,KS,66208",1,0,0,91,38.9993018,-94.6294985,0,0
798,"5963 SW 31ST TERR,TOPEKA,KS,66614",1,0,0,177,39.01151999,-95.84943827,0,0
799,"600 MAIN ST.,HOXIE,KS,67740",1,0,0,179,39.37704546,-100.3585425,0,0
800,"6000 BIRCH ST.,MISSION,KS,66205",1,0,0,91,39.03117655,-94.63076146,0,0
801,"6004 CHARLOTTE COURT,SHAWNEE,KS,66216",1,0,0,91,39.01986369,-94.75833262,0,0
802,"601 N LAKECREST CIR,ANDOVER,KS,67002",1,0,0,15,37.6953817,-97.1254472,0,0
803,"601 N. MUR-LEN RD., STE. 9,OLATHE,KS,66062",1,0,0,91,38.8912357,-94.7810796,0,0
804,"6019 CATALINA ST.,FAIRWAY,KS,66205",1,0,0,91,39.02023114,-94.63356248,0,0
805,"602 LIBERTY,OSKALOOSA,KS,66066",1,0,0,87,39.2026602,-95.3317223,0,0
806,"603 S. MAIN ST.,PRATT,KS,67124",1,0,0,151,37.63359774,-98.77251477,0,0
807,"605 E 41ST ST.,HUTCHINSON,KS,67502",1,0,0,155,38.12716428,-97.92913584,0,0
808,"606 PENN DRIVE,MCPHERSON,KS,67460",1,0,0,113,38.38361906,-97.69810821,0,0
809,"606 QUAIL HOLLOW DRIVE,SALINA,KS,67401",1,0,0,169,38.83410263,-97.64566123,0,0
810,"609 MARSH AVE.,KINSLEY,KS,67547",1,0,0,47,37.9224365,-99.411044,0,0
811,"6100 RAMBLING ROSE,VALLEY CENTER,KS,67147",0,0,1,173,37.85967833,-97.3086273,0,0
812,"612 W. DOUGLAS AVE,ANDOVER,KS,67002",1,0,0,15,37.6857023,-97.1417479,0,0
813,"6120 SW BAYSHORE DRIVE,AUBURN,KS,66402",1,0,0,177,38.91898867,-95.84631382,0,0
814,"6129 SW SOUTH POINTE DR.,AUBURN,KS,66402",1,0,0,177,38.91898867,-95.84631382,0,0
815,"6130 NIEMAN RD.,SHAWNEE,KS,66203",2,0,0,91,39.02150182,-94.70549978,0,0
816,"6130 NIEMAN ROAD,SHAWNEE,KS,66203",1,0,0,91,39.02150182,-94.70549978,0,0
817,"6135 E. HARRY,WICHITA,KS,67218",1,0,0,173,37.66851223,-97.28041743,0,0
818,"615 HOLIDAY PLAZA,LANSING,KS,66043",1,0,0,103,39.2516493,-94.87834654,0,0
819,"620 N. GEORGIE,DERBY,KS,67037",1,0,0,173,37.56444302,-97.21975241,0,0
820,"621 E. IRON AVE.,SALINA,KS,67401",1,0,0,169,38.83410263,-97.64566123,0,0
821,"6213 W 128TH ST,OVERLAND PARK,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
822,"6231 SW 29TH ST., STE. 200,TOPEKA,KS,66614",1,0,0,177,39.01151999,-95.84943827,0,0
823,"626 LYON ST.,LAWRENCE,KS,66044",1,0,0,45,39.02889499,-95.20855765,0,0
824,"627 SW TOPEKA BLVD.,TOPEKA,KS,66603",1,0,0,177,39.05741403,-95.67584156,0,0
825,"6299 NALL AVE, STE 300,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
826,"6299 NALL AVE,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
827,"6299 NALL AVE., STE. 300,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
828,"6299 NALL AVE., SUITE 300,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
829,"6299 NALL, STE.300,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
830,"6300 W. 143RD ST., STE. 110,OVERLAND PARK,KS,66223",1,0,0,91,38.86285275,-94.66819211,0,0
831,"6300 W. 143RD., STE. 110,OVERLAND PARK,KS,66223",1,0,0,91,38.86285275,-94.66819211,0,0
832,"6301 PFLUMM RD, STE 101,SHAWNEE,KS,66216",1,0,0,91,39.01385318,-94.74117183,0,0
833,"6301 PFLUMM RD., STE. 101,SHAWNEE,KS,66216",1,0,0,91,39.01385318,-94.74117183,0,0
834,"6320 KENNETT PLACE,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
835,"6320 NORWOOD ST,MISSION HILLS,KS,66208",1,0,0,91,38.9993018,-94.6294985,0,0
836,"6326 ACUFF ST.,SHAWNEE,KS,66216",1,0,0,91,39.01385318,-94.74117183,0,0
837,"6333 LONG AVE, STE. #201,SHAWNEE,KS,66216",0,0,1,91,39.01422611,-94.73074864,0,0
838,"6344 MACKEY,MERRIAM,KS,66202",0,0,1,91,39.02393261,-94.66913494,0,0
839,"6351 W. 110TH ST.,OVERLAND PARK,KS,66211",1,0,0,91,38.92355416,-94.6368546,0,0
840,"638 PRAIRIE LANE,SALINA,KS,67401",1,0,0,169,38.83410263,-97.64566123,0,0
841,"6409 DARNELL ST.,SHAWNEE,KS,66216",1,0,0,91,39.01283897,-94.75950157,0,0
842,"6420 SW SUFFOLK RD,TOPEKA,KS,66610",1,0,0,177,38.9989994,-95.7728025,0,0
843,"645 COUNTRY CLUB TERRACE,LAWRENCE,KS,66049",1,0,0,45,38.972593,-95.2653955,0,0
844,"647 COUNTRY CLUB TER.,LAWRENCE,KS,66049",2,0,0,45,38.9721278,-95.2654928,0,0
845,"650 GEORGETOWN COURT UNIT A,SALINA,KS,67401",1,0,0,169,38.83410263,-97.64566123,0,0
846,"6508 W. 65TH TERR.,OVERLAND PARK,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
847,"6508 WEST 65TH TERRACE,OVERLAND PARK,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
848,"651 E. PRESCOTT,SALINA,KS,67401",1,0,0,169,38.83410263,-97.64566123,0,0
849,"6547 FLINT STREET, APT. 104,SHAWNEE,KS,66203",1,0,0,91,39.00816278,-94.71838331,0,0
850,"6600 REEDS DR.,MISSION,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
851,"6609  W. 123TD ST.,OVERLAND PARK,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
852,"6665 N. 52ND ST.,MANHATTAN,KS,66503",1,0,0,161,39.26374574,-96.68623085,0,0
853,"6700 121ST ST., STE. 104,OVERLAND PARK,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
854,"6700 W. 121ST ST., #104,OVERLAND PARK,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
855,"6700 W. 121ST ST., STE. 101,OVERLAND PARK,KS,66209",2,0,0,91,38.89909804,-94.63873213,0,0
856,"681 N BROADMOOR AVE,WICHITA,KS,67206",1,0,0,173,37.6991998,-97.2520635,0,0
857,"6811 W. 121ST ST.,OVERLAND PARK,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
858,"6836 SW COTTONWOOD CIRCLE,TOPEKA,KS,66614",1,0,0,177,39.0178033,-95.7831102,0,0
859,"6844 SILVERHEEL ST.,SHAWNEE,KS,66226",0,0,1,91,39.03057819,-94.86005317,0,0
860,"6872 W. 121ST CRT.,OVERLAND PARK,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
861,"6904 BRADSHAW ST.,SHAWNEE,KS,66216",1,0,0,91,39.00254788,-94.73484733,0,0
862,"7004 BARTH RD.,SHAWNEE,KS,66226",1,0,0,91,39.03057819,-94.86005317,0,0
863,"701 WASHINGTON BLVD.,KANSAS CITY,KS,66101",1,0,0,209,39.11845795,-94.62681421,0,0
864,"7015 E CENTRAL AVE,WICHITA,KS,67206",1,0,0,173,37.6934805,-97.2545889,0,0
865,"7030 W. 107TH ST., STE. 220,OVERLAND PARK,KS,66212",1,0,0,91,38.95634682,-94.68148349,0,0
866,"705 FIRST AVE, STE B,DODGE CITY,KS,67801",0,0,1,57,37.72527035,-100.0549624,0,0
867,"706 QUAIL CREEK RD,PARSONS,KS,67357",1,0,0,99,37.34664459,-95.29337325,0,0
868,"707 MINNESOTA AVE,KANSAS CITY,KS,66101",0,0,1,209,39.11543743,-94.62713777,0,0
869,"7070 RENNER RD., STE. 202,SHAWNEE,KS,66217",1,0,0,91,39.00910783,-94.78203794,0,0
870,"711 E CLOUD AVE APT 504,ANDOVER,KS,67002",1,0,0,15,37.69503272,-97.10766259,0,0
871,"712 OSAGE ST.,MANHATTAN,KS,66502",1,0,0,161,39.15135645,-96.53148134,0,0
872,"714 8TH ST.,BALDWIN CITY,KS,66006",1,0,0,45,38.79590805,-95.23829651,0,0
873,"714 LIBERTY ST.,CLAY CENTER,KS,67432",1,0,0,27,39.33187893,-97.18711449,0,0
874,"720 LADERA CIR,MANHATTAN,KS,66503",1,0,0,161,39.26374574,-96.68623085,0,0
875,"7214 PFLUMM RD,SHAWNEE,KS,66216",1,0,0,91,39.01385318,-94.74117183,0,0
876,"7224 W. NORTHWIND,WICHITA,KS,67205",1,0,0,173,37.74991083,-97.42253093,0,0
877,"7228 LINDEN ST.,PRAIRIE VILLAGE,KS,66208",1,0,0,91,38.9993018,-94.6294985,0,0
878,"7241 COTTONWOOD DR,SHAWNEE,KS,66216",1,0,0,91,38.99645804,-94.75037775,0,0
879,"7255 W. 98TH TER., STE. 154,OVERLAND PARK,KS,66212",2,0,0,91,38.95634682,-94.68148349,0,0
880,"7272 E. 37TH ST. NORTH,WICHITA,KS,67226",1,0,0,173,37.77328732,-97.21528484,0,0
881,"728 PARKWAY STREET,CLAY CENTER,KS,67432",1,0,0,27,39.33187893,-97.18711449,0,0
882,"729 PRAIRIE CT,TOPEKA,KS,66606",1,0,0,177,39.06159489,-95.72115505,0,0
883,"7299 W. 98TH TERR.,OVERLAND PARK,KS,66212",1,0,0,91,38.95634682,-94.68148349,0,0
884,"7301 MISSION RD., STE. 203,PRAIRIE VILLAGE,KS,66208",1,0,0,91,38.9993018,-94.6294985,0,0
885,"7301 MISSION RD., STE. 206,PRAIRIE VILLAGE,KS,66208",1,0,0,91,38.9993018,-94.6294985,0,0
886,"7301 MISSION RD., STE. 225,PRAIRIE VILLAGE,KS,66208",1,0,0,91,38.9993018,-94.6294985,0,0
887,"7301 MISSION RD., STE. 229,PRAIRIE VILLAGE,KS,66208",1,0,0,91,38.9993018,-94.6294985,0,0
888,"7305 ASH ST.,PRAIRIE VILLAGE,KS,66208",1,0,0,91,38.9993018,-94.6294985,0,0
889,"7305 SW 53RD STREET,TOPEKA,KS,66610",1,0,0,177,38.97401838,-95.83754695,0,0
890,"7306 W. 57TH ST.,OVERLAND PARK,KS,66202",1,0,0,91,39.02393261,-94.66913494,0,0
